#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
eunuch;Eunuch;Eunuque;Eunuch;;Eunuco;;;;;;;;;x
EVTDESCLoR.412;This is it, the final race of the season. The Hippodrome is filled to capacity and a deafening roar greets you as you ride your chariot into the arena. You line up next to Spyridon, your old foe from the Greens and the crowd's favorite. "Your Majesty," he says and spits on the ground.\n\nThe trumpets blow and the race begins, but it seems you weren't the only one to have brought arms. Everything turns into a huge melee as all the drivers hack and slash at each other using both handheld and chariot-mounted weaponry. Anaximandros has played both sides against each other - there can be no other explanation. The situation escalates further when the agitated crowds enter the fray. You spot Anaximandros climbing into Spyridon's chariot, and the two of them escape the Hippodrome through the unguarded exit.;Ça y est, la course finale de la saison. L'Hippodrome est plein à craquer et d'assourdissantes acclamations accueillent l'entrée de votre char dans l'arène. Vous vous alignez à côté de Spyridon, votre ennemi de toujours et favori de la foule. ''Votre Maje;Es ist soweit, das letzte Rennen der Saison. Das Hippodrom ist bis auf den letzten Platz ausverkauft und ein ohrenbetäubendes Tosen begrüßt Euch, als Ihr Euren Streitwagen in die Arena lenkt. Ihr nehmt Euren Platz neben Spyridon ein, Eurem alten Rivalen a;;Es el día de la última carrera de la temporada. El Hipódromo está lleno a rebosar y un rugido ensordecedor te da la bienvenida cuando entras en el estadio montando en tu carro. Te encuentras junto a Spyridon, tu viejo enemigo del equipo de los Verdes, y el favorito de la multitud. "Su Majestad", te dice y escupe en el suelo. \n\nLas trompetas suenan y empieza la carrera. Pero parece que no eres el único que ha traído armas. Todo se convierte en un enorme cuerpo a cuerpo cuando todos los corredores se golpean y acuchillan con armas de mano y con las montadas en los carros. Anaximandros ha jugado a dos bandos, el uno encontra el otro - no hay otra explicación. La situación se agrava aún más cuando las agitadas masas entran en la batalla. Descubres a Anaximandros subiendo al carro de Spyridon y ves como los dos se fugan del Hipódromo por la salida no vigilada.;;;;;;;;;x
EVTOPTALoR.412;Give chase!;Les pourchasser !;Nichts wie hinterher!;;¡Empieza la cacería!;;;;;;;;;x
EVTOPTBLoR.412;Stay behind.;Rester dans l'enceinte.;Zurückbleiben.;;Manténte atrás.;;;;;;;;;x
EVTTOOLTIPLoR.413;You remain at the Hippodrome to stifle this riot.;Vous restez à l'Hippodrome pour tenter d'interrompre l'émeute.;Ihr verbleibt im Hippodrom, um den Aufstand niederzuschlagen.;;Te quedas en el Hipódromo para sofocar este desmadre.;;;;;;;;;x
EVTNAMELoR.413;Aftermath;Conséquences;Nachspiel;;Consequencias;;;;;;;;;x
EVTDESCLoR.413;As Spyridon and the traitor Anaximandros depart the Hippodrome leaving nothing but chaos in their wake, you rally the Varangian Guard to your side. Together with a squadron of cataphracts from the nearby garrison you finally manage to bring order to the madness. The cost of life is great, especially amongst the audience, but it can't be helped.\n\nYour career as a chariot racer is over, but despite everything, you have emerged through all this as the strongwilled leader many feel the Empire needs. You wonder what possible motive compelled Anaximandros to turn the Blue and Green factions against each other in open battle. For how long did he mastermind events with that purpose in mind? You will likely never know. He is now a wanted man throughout the Empire.;Tandis que Spyridon et le traître Anaximandre quittent l'Hippodrome en ne laissant que le chaos derrière eux, vous ralliez un garde Varègue de votre côté. Ensemble, avec l'aide d'un escadron de cataphractaires de la garnison la plus proche, vous réussisse;Als Spyridon und der Verräter Anaximandros das Hippodrom verlassen und nichts als Chaos hinter sich zurücklassen, ruft Ihr die Warägerwachen an Eure Seite. Zusammen mit einer Einheit Kataphrakte, aus der nahegelegenden Garrison, gelingt es Euch endlich, O;;Cuando Spiridon y el traidor Anaximandros salen del Hipódromo dejando nada más que caos a su paso, vuelves a formar la la Guardia varega a tu lado. Junto a un escuadrón de catapultas de la guarnición cercana finalmente logras poner orden a esa locura. El costo en vidas es grande, sobre todo en cuanto público, pero no puedes evitarlo. \n\nTu carrera como corredor de carros ha terminado, pero a pesar de todo, te has salido de todo esto como el voluntarioso líder que muchos sienten que el Imperio Romano necesita. Uno se pregunta qué motivo forzó a Anaximandros a provocar que las facciones Azul y Verde lucharan entre sí en una batalla abierta. ¿Durante cuánto tiempo estuvo planeando estos eventos? Probablemente jamás se sabrá.  Ahora él es un hombre buscado por todo el Imperio.;;;;;;;;;x
EVTOPTALoR.413;Bloody gnome.;Foutu gnome.;Verfluchter Gnom.;;Maldito gnomo.;;;;;;;;;x
EVTTOOLTIPLoR.414;You pursue them outside the Hippodrome.;Vous les poursuivez en-dehors de l'Hippodrome.;Ihr verfolgt sie aus dem Hippodrom.;;Les estás persiguiendo fuera del Hipódromo.;;;;;;;;;x
EVTNAMELoR.414;The Chase Is On;La Chasse à l'homme;Die Jagd ist eröffnet;;Empieza la Caza;;;;;;;;;x
EVTDESCLoR.414;You leave the madness of the Hippodrome behind and steer your chariot out into the streets of Constantinople, in hot pursuit of Spyridon and the traitor Anaximandros. With blades unfolded, your chariot smashes through market stalls and pottery in the narrow back alleys while a hissing Anaximandros tries to give you a taste of the whip, without success.\n\nYou rush past the Hagia Sophia and onto the Augustaion square as terrified priests scramble to get out of the way. With a sharp turn you continue forward on the Mese, the main thoroughfare, and speed past oxcarts and the Forum of Constantine before Spyridon abruptly turns north, towards the Golden Horn. He finally loses control of his chariot at the docks, and it crashes into some stacked crates. You step out of your chariot and draw your mace.;Vous laissez derrière vous l'Hippodrome et sa folie démentielle et conduisez votre char à travers les rues de Constantinople, à la poursuite effrénée de Spyridon et du traître Anaximandre. Dans ces ruelles étroites, votre char, lames déployées, accroche l;Ihr lasst den Wahnsinn im Hippodrom hinter Euch und lenkt Euren Streitwagen durch die Straßen Konstantinopels, in dichter Aufholjagd hinter Spyridon und dem Verräter Anaximandros. Mit ausgefahrenen Klingen zerschlägt Euer Streitwagen Marktstände und Tonwa;;Dejas la locura del Hipódromo atrás y, montado en tu carro, te introduces por las calles de Constantinopla en búsqueda de los traidores Spiridon y Anaximandros. Con las armas extendidas, tu carro destroza tenderetes y alfarerías en los estrechos callejones del mercado mientras que un sibilante Anaximandros intenta, sin éxito, darte un latigazo. \n\nTú sigues, a toda prisa, más allá de la iglesia de Santa Sofía y la plaza Augustaion, los sacerdotes, aterrorizados, luchan por abrirse paso. Después de un giro brusco sigues adelante por la Mese, la vía principal, adelantas carros tirados por bueyes y pasas velozmente ante el Foro de Constantino poco antes de que Spyridon se gire bruscamente hacia el norte, hacia el Cuerno Dorado. Finalmente, en el puerto, pierde el control de su carro y se estrella contra unas cajas apiladas. Tú sales de tu carro y desenfundas tu maza.;;;;;;;;;x
EVTOPTALoR.414;Give no quarter.;Pas de quartier;Zeigt kein Pardon.;;No darle cuartel.;;;;;;;;;x
EVTOPTBLoR.414;Show mercy.;Un peu de pitié;Zeigt Gnade.;;Muestra misericordia.;;;;;;;;;x
EVTTOOLTIPLoR.416;You show mercy.;Vous avez pitié d'eux.;Ihr zeigt Gnade.;;Muestras misericordia.;;;;;;;;;x
EVTNAMELoR.415;No Quarter Given;Pas de quartier;Kein Pardon;;Sin Cuartel.;;;;;;;;;x
EVTDESCLoR.415;Spyridon has been impaled on a nearby fence and his dead eyes glare at you accusingly. Anaximandros, however, lies wheezing on the docks with a broken leg. He curses your name as you approach him with your mace. "Why do all this?" you ask him. "What could you possibly gain?"\n\nThe little man grins wryly at you. "Eons ago, there were four chariot racing teams: the Blues, the Greens, the Whites and the Reds. Then the two most powerful teams all but absorbed the two weakest. Who speaks of the Whites today? Or the Reds? Where is their glory? The domination of the Blues and Greens had to end, Majesty. At any cost. If my nephew Spyridon and I could get them to wipe each other out..." You have heard enough. With a single blow, your mace forever silences Anaximandros.;Spyridon a été empalé sur une clôture proche et ses yeux morts vous fixent d'un air accusateur. Anaximandre, quant à lui, gît sur les quais, une jambe cassée et le souffle court. Il maudit votre nom alors que vous vous approchez avec votre masse. ''Pourqu;Spyridon wurde von einem naheliegenden Zaun aufgespießt und seine leeren Augen starren Euch anklagend an. Anaximandros hingegen liegt wimmernd mit gebrochenem Bein auf den Docks. Er verflucht Euren Namen, als Ihr Euch mit erhobenem Streitkolben nähert. "W;;Spyridon ha sido empalado en una valla cercana y sus ojos muertos te fulminan con mirada acusadora. Anaximandros, en cambio, se encuentra tumbado en los muelles silbando y sólo con una pierna rota. Maldice tu nombre cuando te le acercas con tu maza. "¿Por qué hacer todo esto?" tú le preguntas. "¿Qué sacas, con todo esto?" \n\nEl hombrecito te sonríe irónicamente. "Mucho tiempo atrás, había cuatro equipos de carreras de carros: los Azules , los Verdes, los Blancos y los Rojos. Los dos equipos más poderosos absorbieron a los dos más débiles. ¿Quien habla hoy en día de los Blancos? ¿Y de los Rojos?  ¿Dónde está su gloria? El dominio de  los Azules y los Verdes tenía que terminar, Su Majestad, esto a cualquier coste. Si mi sobrino Spyridon y yo podíamos conseguir que se eliminaran los unos a los otros..." Has oído lo suficiente. De un mazazo silencias para siempre a Anaximandros.";;;;;;;;;x
EVTOPTALoR.415;One less headache for me.;Un tracas de moins pour moi.;Eine Sorge weniger für mich.;;Un dolor de cabeza menos para mí.;;;;;;;;;x
EVTTOOLTIPLoR.415;You show no mercy.;Vous n'avez aucune pitié.;Ihr zeigt keine Gnade.;;No muestras piedad. ;;;;;;;;;x
EVTNAMELoR.416;Quarter Is Given;Quartier a été fait;Gnade vor Recht;;Se Da una Tregua;;;;;;;;;x
EVTDESCLoR.416;Spyridon has been impaled on a nearby fence and his dead eyes glare at you accusingly. Anaximandros, however, lies wheezing on the docks with a broken leg. He curses your name as you approach him with your mace. "Why do all this?" you ask him. "What could you possibly gain?"\n\n The little man grins wryly at you. "Eons ago, there were four chariot racing teams: the Blues, the Greens, the Whites and the Reds. Then the two most powerful teams all but absorbed the two weakest. Who speaks of the Whites today? Or the Reds? The domination of the Blues and Greens had to end, Majesty. At any cost. If my nephew Spyridon and I could get them to wipe each other out..." You have heard enough. Varangian Guardsmen on horseback finally catch up with you and are instructed to take Anaximandros away.;Spyridon a été empalé sur une clôture proche et ses yeux morts vous fixent d'un air accusateur. Anaximandre, quant à lui, gît sur les quais, une jambe cassée et le souffle court. Il maudit votre nom alors que vous vous approchez avec votre masse. ''Pourqu;Spyridon wurde von einem naheliegenden Zaun aufgespießt und seine leeren Augen starren Euch anklagend an. Anaximandros hingegen liegt wimmernd mit gebrochenem Bein auf den Docks. Er verflucht Euren Namen, als Ihr Euch mit erhobenem Streitkolben nähert. "W;;"Spyridon ha sido empalado en una valla cercana y sus ojos muertos te fulminan con mirada acusadora. Anaximandros, en cambio, se encuentra tumbado en los muelles silbando y con sólo con una pierna rota. Maldice tu nombre cuando te le acercas con tu maza. "¿Por qué hacer todo esto? tú le preguntas. ¿Qué sacas, con todo esto?" \n\nEl hombrecito te sonríe irónicamente. "Mucho tiempo atrás, había cuatro equipos de carreras de carros: los Azules , los Verdes, los Blancos y los Rojos. Los dos equipos más poderosos absorbieron a los dos más débiles. ¿Quien habla hoy en día de los Blancos? ¿Y de los Rojos? El dominio de  los Azules y los Verdes tenía que terminar, Su Majestad, esto a cualquier coste. Si mi sobrino Spyridon y yo podíamos conseguir que se eliminaran los unos a los otros..." Has oído lo suficiente. Finalmente soldados Varangian te alcanzan y les ordenas que se lleven a Anaximandros.";;;;;;;;;x
EVTOPTALoR.416;And throw away the key.;Et d'en jeter la clef.;Und werft den Schlüssel weg.;;Y tira la llave.;;;;;;;;;x
EVTTOOLTIPLoR.417;Constantinople is engulfed in riots!;Constantinople sombre dans les émeutes !;Konstantinopel wird von Unruhen überrollt!;;Constantinopla se sumió en disturbios.;;;;;;;;;x
hippodrome_riots;The city is beset by rioters and hooligans.;La cité est assaillie par les émeutiers et les voyous.;Die Stadt wird von Aufrührern und Hooligans belagert.;;La ciudad está rodeada de alborotadores y gamberros.;;;;;;;;;x
EVTNAMELoR.417;Riots in Constantinople;Émeutes à Constantinople;Unruhen in Konstantinopel;;Motines en Constantinopla;;;;;;;;;x
EVTDESCLoR.417;Members of the Varangian Guard leap into the arena in defense of their [Root.GetTitle] and swiftly cut down those rioters foolish enough to approach your chariot. They rush you to the safety of your palace, but the rest of Constantinople burns when the upset crowds spill out of the Hippodrome and onto the streets. As you watch the fires spread from your palatial balcony, you raise your fists to the heavens and bellow at the top of your lungs:\n\n"AAANNNNAAAXIMANDROOOS!!!!!!!!!!!!!!";Les membres de la garde varègue bondissent dans l'arène pour défendre leur [Root.GetTitle] et abattent rapidement ces émeutiers assez fous pour approcher votre char. Ils se hâtent de vous mettre à l'abri dans votre palais, mais le reste de Constantinople ;Mitglieder der Warägerwache tauchten plötzlich in der Gegend auf, um ihren [Root.GetTitle] zu verteidigen, und stutzten jene Aufrührer zurecht, die dumm genug waren, sich ihren Streitwagen zu nähern. Sie bringen Euch eilig in den sicheren Palast, doch der;;Los miembros de la la Guardia varega saltan a la arena en defensa de su [Root.GetTitle] y rápidamente reducen a aquellos exaltados tan estúpidos como para acercarse a tu carro. Te llevan, a toda velocidad, a la seguridad de tu palacio, pero el resto de Constantinopla arde cuando las multitudes, alteradas, salen del Hipódromo y se vuelcan a las calles. Al ver, desde tu balcón palaciego cómo se extiende el fuego, alzas los puños al cielo y gritas con todas tus fuerzas :\n\n"¡AAANNNNAAAXIMANDROOOS!";;;;;;;;;x
