#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;x
###### Misc events, decisions, modifiers;;;;;;;;;;;;x
###### Georgian Schism;;;;;;;;;;;;x
GEORGIAN.1.title;The Georgian Church;L'Église géorgienne;;;La iglesia Georgiana;;;;;;;x
EVTDESC_guard_31151;A heavily scarred warrior clad in Greek armor approaches your throne, and before he can be disarmed, the stranger relieves your guard of his spear in a swift, fluid motion and tosses it aside. Other guards hurry forward, but you raise your hand to stop them. The stranger is [From.GetTitledFirstName], at last returned from Greece!;Un guerrier profondément balafré, revêtu d'une étrange armure, s'approche de votre trône et, avant qu'on n'ait pu le désarmer, l'étranger, d'un mouvement prompt et adroit, désarme votre garde et jette sa lance par terre. Les autres gardes s'approchent en vitesse, mais vous levez votre bras pour les arrêter. L'étranger est [From.GetTitledFirstName], enfin revenu de Grèce !;;;;;;;;;;x
EVTOPTA_guard_31151;[From.GetFirstName]! You've... changed!;[From.GetFirstName]! Tu as... changé !;;;¡Has cambiado!;;;;;;;x
EVTDESC_guard_31171;Your son, [From.GetTitledFirstName], has finally returned home from Greece and his service with the Excubitors! Although you can't quite put your finger on it, he seems different somehow... and what is this Greek love he speaks of?;Votre fils, [From.GetTitledFirstName], est finalement revenu de Grèce et de son service dans les Excubites ! Bien que vous ne pouvez encore dire pourquoi, il semble quelque peu différent... Serait-ce cet 'amour grec' dont il parle ?;;;¡Tu hijo, [From.GetTitledFirstName], finalmente ha regresado a casa desde Grecia y su servicio con los Excubitores! Aunque no puedes ponerle el dedo encima, de alguna manera parece diferente ... ¿y de qué es este amor griego del que habla?;;;;;;;x
EVTOPTA_guard_31171;No matter, I'm just glad he made it home!;Ça ne fait rien, son retour me fait grand plaisir !;;;No importa, ¡me alegro de que haya llegado a casa!;;;;;;;x
EVTDESC_guard_31191;A frail, robed man is led into your throne room, and your guards explain that he just arrived on a ship coming from Constantinople. The man would only speak your name over and over again, and so he was brought to you. To your horror, you recognize him at last as [From.GetTitledFirstName]!;Un homme frêle et vêtu d'une robe est mené dans votre salle du trône et vos gardes expliquent qu'il vient tout juste de débarquer d'un navire en provenance de Constantinople. L'homme répétait inlassablement le même mot : votre nom. Vous frémissez d'horreur en le reconnaissant, c'est [From.GetTitledFirstName] !;;;Un hombre frágil y vestido es conducido a la sala del trono, y sus guardias le explican que acaba de llegar en un barco procedente de Constantinopla. El hombre solo hablaría tu nombre una y otra vez, y entonces él fue traído a ti. Para su horror, lo reconoce al fin como [From.GetTitledFirstName] !;;;;;;;x
EVTOPTA_guard_31191;My son! What has happened!;Ça ne fait rien, son retour me fait grand plaisir !;;;¡Hijo mío!¡Que te ha pasado!;;;;;;;x
EVTDESC_guard_31211;[From.GetTitledFirstName] has finally returned home after a long and successful career in the Excubitors! He fought in several battles, and learned much from the clever strategies and tactics favored by both the Greeks and their enemies in Persia.;[From.GetTitledFirstName] est finalement de retour au bercail après une fructueuse et longue carrière dans les Excubites ! Il a pris part à plusieurs batailles et a beaucoup appris sur les adroites stratégies et les tactiques utilisées par les Grecs et leurs ennemis en Perse.;;;[From.GetTitledFirstName] finalmente ha regresado a casa después de una larga y exitosa carrera en Excubitors. Luchó en varias batallas y aprendió mucho de las estrategias y tácticas inteligentes que favorecían tanto a los griegos como a sus enemigos en Persia.;;;;;;;x
EVTOPTA_guard_31211;Tell me of your battles, [From.GetFirstName]...;Raconte-moi tes exploits, [From.GetFirstName]...;;;Cuéntame de tus batallas, [From.GetFirstName] ...; Raconte-moi tes exploits, [From.GetFirstName] ...;;;;;;;x
EVTDESC_guard_31231;[From.GetTitledFirstName] has returned from Greece and the Excubitors, but he refuses to speak of his experiences there. You know he took part in several battles and killed many foes, but instead of reveling in the glory of his accomplishments, [From.GetFirstName] is plagued by nightmares and jumps at sudden sounds.;[From.GetTitledFirstName] est de retour de Grèce et du Excubitors, mais refuse de parler de son expérience là-bas. Vous savez qu'il a pris part à plusieurs batailles et qu'il a eu raison de nombreux ennemis, mais au lieu de raconter ses glorieux exploits, [From.GetFirstName] fait des cauchemars toutes les nuits et sursaute au moindre bruit.;;;[From.GetTitledFirstName] ha regresado de Grecia y los Excubitores, pero se niega a hablar de sus experiencias allí. Sabes que tomó parte en varias batallas y mató a muchos enemigos, pero en lugar de deleitarse en la gloria de sus logros, [From.GetFirstName] está plagado de pesadillas y salta a sonidos repentinos.;;;;;;;x
EVTOPTA_guard_31231;Strange...;Étrange...;;;Extraño...;;;;;;;x
EVTDESC_guard_31251;[From.GetTitledFirstName] has come home from the Eastern Empire and his service with the Excubitors, but he is not alone. He has found a Greek wife and brought her with him. She is not familiar with our customs or language, and the climate does not seem to agree with her, but she seems willing to make the best of her new home.;[From.GetTitledFirstName] est de retour de l'Empire d'Orient et de son service dans les Excubites, mais il ne revient pas seul. Il s'est marié à une Grecque et l'a ramenée avec elle. Elle n'est pas habituée à nos coutumes et à notre langue, et ne semble pas apprécier notre climat, mais elle semble vouloir faire d'ici son chez-soi.;;;[From.GetTitledFirstName] ha vuelto a casa desde el Imperio del Este y su servicio con los Excubitores, pero no está solo. Él ha encontrado una esposa griega y la ha traído con él. Ella no está familiarizada con nuestras costumbres o nuestro idioma, y el clima no parece estar de acuerdo con ella, pero parece dispuesta a aprovechar su nuevo hogar.;;;;;;;x
EVTOPTA_guard_31251;Welcome!;Bienvenu !;;;¡Bienvenido!;;;;;;;x
EVTDESC_guard_31271;After many years in Greece, [From.GetTitledFirstName] has finally been released from his service to the Excubitors and returned home. Your son is a changed man, however. The old gods no longer hold any interest for him, and he instead speaks incessantly of Christendom and the horrors that await those who refuse to convert...;Après plusieurs années en Grèce, [From.GetTitledFirstName] a enfin été dégagé de ses fonctions dans les Excubites et est rentré au bercail. Votre fils est cependant un homme changé. Les Anciens Dieux ne l'intéressent plus et il parle sans cesse du royaume des chrétiens et des horreurs qui s'abattront sur ceux qui refusent de se convertir...;;;Después de muchos años en Grecia, [From.GetTitledFirstName] finalmente fue liberado de su servicio a los Excubitors y regresó a casa. Sin embargo, su hijo es un hombre cambiado. Los viejos dioses ya no tienen ningún interés por él, y en cambio habla incesantemente de la cristiandad y de los horrores que aguardan a los que se niegan a convertirse ...;;;;;;;x
EVTOPTA_guard_31271;May the gods have mercy...;Que les dieux aient pitié...;;;¡Que los dioses tengan piedad!;;;;;;;x
EVTDESC_guard_31291;[From.GetTitledFirstName] has returned from the Eastern Empire and the Excubitors as a changed man. He is wiser, more confident in his own abilities and more knowledgeable in matters of war. It seems the time spent in Greece did him good.;[From.GetTitledFirstName]est de retour de l'Empire d'Orient et du Excubitors et c'est un homme changé. Il est plus sage, plus sûr de lui et connaît très bien l'art de la guerre. Le temps qu'il a passé en Grèce semble lui avoir fait du bien.;;;[From.GetTitledFirstName] ha regresado del Imperio del Este y los Excubitores como un hombre cambiado. Él es más sabio, tiene más confianza en sus propias habilidades y está más informado en materia de guerra. Parece que el tiempo pasado en Grecia le hizo bien.;;;;;;;x
EVTOPTA_guard_31291;Welcome home, [From.GetFirstName]!;Bienvenue chez toi, [From.GetFirstName] !;;;Bienvenido a casa, [From.GetFirstName]!;;;;;;;x
EVTDESC_guard_31311;Several former Excubitors have recently returned home after serving the Eastern Emperor, and they bring news most grave. Your son, [From.GetTitledFirstName], fell in battle while campaigning in the East. They assure you that he faced his enemy with bravery and slew many before their numbers overwhelmed him.;Plusieurs anciens Excubites sont de retour de leur service pour l'Empereur d'Orient depuis peu et ils apportent de mauvaises nouvelles. Votre fils, [From.GetTitledFirstName], est tombé au combat lors de la campagne d'Orient. Ils vous assurent qu'il a affronté l'ennemi avec bravoure et qu'il en a tué plusieurs avant qu'ils aient eu raison de lui.;;;Varios antiguos Excubitores han regresado a su hogar recientemente después de servir al Emperador del Este, y traen las noticias más graves. Su hijo, [From.GetTitledFirstName], cayó en batalla mientras hacía campaña en el Este. Le aseguran que enfrentó a su enemigo con valentía y mató a muchos antes de que sus números lo abrumaran.;;;;;;;x
EVTOPTA_guard_31311;He died a hero...;Il est mort en héros...;;;Murió como un héroe...;;;;;;;x
EVTDESC_guard_31331;[From.GetTitledFirstName] has at last returned from Greece on a ship filled with the spoils of war! Apparently the great Emperor is generous to those who serve him well, and there is gold here from all over the Greek realm, the Orient and beyond. Your son insists on sharing these riches with you, his loving father.;[From.GetTitledFirstName] est enfin de retour de Grèce, à bord d'un bateau contenant un impressionnant butin de guerre ! Le grand Empereur est apparemment très généreux envers ceux qui le servent bien, et il y a de l'or de tous les coins de la Grèce, de l'Orient et de plus loin encore. Votre fils insiste pour partager ses richesses avec vous, son père bien-aimé.;;;[From.GetTitledFirstName] por fin ha regresado de Grecia en un barco lleno del botín de guerra. Aparentemente, el gran Emperador es generoso con aquellos que le sirven bien, y hay oro aquí en todo el reino griego, el Oriente y más allá. Su hijo insiste en compartir estas riquezas con usted, su amado padre.;;;;;;;x
EVTOPTA_guard_31331;[From.GetFirstName], you make me proud!;[From.GetFirstName], tu me remplis de fierté !;;;[From.GetFirstName], ¡me haces sentir orgulloso!;;;;;;;x
EVTDESC_guard_31341;Upon learning of the death of your father, you left the Excubitors and departed Greece for home on a ship filled with loot from your campaigns in the Orient. It was a long and perilous journey back, but your feet are now firmly planted on the soil of the land that is your birthright. The throne is yours.;Après avoir appris la mort de votre père, vous avez abandonné les Excubites et quittez la Grèce sur un bateau pour rentrer au bercail, rapportant un important butin amassé lors de vos campagnes en Orient. Le voyage du retour fut long et périlleux, mais vos pieds foulent maintenant la terre ferme, cette terre dont vous êtes l'héritier. Le trône est à vous.;;;Al enterarse de la muerte de tu padre, dejaste a los Excubitores y partiste de Grecia para casa en un barco lleno de botín de tus campañas en Oriente. Fue un largo y peligroso viaje de regreso, pero tus pies ahora están firmemente plantados en el suelo de la tierra que es tu derecho de nacimiento. El trono es tuyo.;;;;;;;x
EVTOPTA_guard_31341;It is as I remember it.;C'est comme dans mes souvenirs.;;;Tal y como recuerdo;;;;;;;x
###### Misc events;;;;;;;;;;;;x
EVTNAMEdev.1;A Great Conversion;Une grande conversion;;;Una gran conversión;;;;;;;x
EVTDESCdev.1;It seems your faith is popular, for almost your entire kingdom has converted to it.;Il semble que votre foi est populaire, parce que la quasi-totalité de votre royaume s'est converti à elle.;;;Parece que tu fe es popular, ya que casi todo tu reino se ha convertido a ella.;;;;;;;x
EVTOPTAdev.1;Wonderful!;Formidable !;;;¡Fenomenal!;;;;;;;x
###### Byzantine events;;;;;;;;;;;;x
EVTNAMEbyzzie.210;Isaurian Riots;Émeutes isauriennes;;;Revueltas Isauras;;;;;;;x
